"","X","sid","age","AA","EL","RR","video","gender","parent_ed","condition","types","tokens","TTR","MTLD"
"1",1,"110416_08",-0.66,0.118937389770723,0.531084656084656,1.20568783068783,"a_recoger","F",-1.25211318124804,"con",37,62,0.596774193548387,27.3552631578947
"2",2,"042416_05",-0.44,-0.131062610229277,-0.0939153439153442,-0.919312169312169,"ruidos","F",0.894366558034317,"exp",44,120,0.366666666666667,10.6287878787879
"3",3,"101416_08",-0.6,0.743937389770723,0.281084656084656,0.830687830687831,"a_recoger","F",-1.25211318124804,"exp",46,181,0.25414364640884,15.0833333333333
"4",4,"101416_03",-0.34,-0.256062610229277,0.281084656084656,0.455687830687831,"ruidos","F",0.894366558034317,"exp",65,273,0.238095238095238,16.2890307848444
"5",5,"101416_05",-0.65,-0.756062610229277,0.156084656084656,-1.04431216931217,"a_recoger","F",-1.9676064276755,"exp",48,195,0.246153846153846,7.31449981763321
"6",6,"012017_05",-0.58,0.368937389770723,0.531084656084656,0.205687830687831,"ruidos","F",0.894366558034317,"exp",79,315,0.250793650793651,16.3160232747294
"7",7,"120916_05",0.07,0.243937389770723,0.531084656084656,-0.669312169312169,"give_me_toy","M",0.894366558034317,"con",70,172,0.406976744186047,18.70551558753
"8",8,"111716_07",0.32,-0.506062610229277,-0.343915343915344,0.955687830687831,"mis_jugetes","M",0.894366558034317,"exp",64,328,0.195121951219512,17.2631578947368
"9",9,"060516_02",0.45,-0.506062610229277,0.281084656084656,-0.419312169312169,"orchestra","M",-0.536619934820591,"exp",32,55,0.581818181818182,24.3463302752294
"10",10,"032817_01",0.12,-2.96439594356261,-2.89748677248677,0.705687830687831,"give_me_toy","F",-0.536619934820591,"exp",72,276,0.260869565217391,15.1295087910096
"11",11,"060516_03",-0.14,0.868937389770723,0.531084656084656,1.33068783068783,"give_me_toy","F",-0.536619934820591,"con",78,152,0.513157894736842,44.6833569516612
"12",12,"052317_03",-0.07,-2.00606261022928,-2.59391534391534,0.955687830687831,"give_me_toy","F",0.894366558034317,"exp",62,248,0.25,14.7525183434896
"13",13,"121516_03",0.6,0.618937389770723,0.281084656084656,-0.544312169312169,"orchestra","F",0.894366558034317,"exp",57,133,0.428571428571429,19.7307008847571
"14",14,"050116_05",0.67,-1.84534832451499,-1.34391534391534,-0.669312169312169,"orchestra","F",0.894366558034317,"exp",50,172,0.290697674418605,9.1578947368421
"15",15,"111716_01",0.39,0.868937389770723,0.531084656084656,0.330687830687831,"orchestra","F",-0.536619934820591,"con",61,211,0.289099526066351,6.52699001700956
"16",16,"012017_04",0.14,0.493937389770723,0.531084656084656,1.33068783068783,"classificando","F",-0.536619934820591,"con",101,304,0.332236842105263,22.9430629793168
"17",17,"110416_02",0.59,-0.0060626102292769,-0.718915343915344,-1.29431216931217,"orchestra","F",-0.536619934820591,"con",86,156,0.551282051282051,33.6555555555556
"18",18,"060516_01",-0.12,0.118937389770723,-0.718915343915344,0.205687830687831,"classificando","F",0.894366558034317,"exp",76,223,0.340807174887892,21.563382269904
"19",19,"050116_02",0.07,-1.13106261022928,-0.343915343915344,-1.54431216931217,"give_me_toy","F",0.894366558034317,"exp",43,183,0.234972677595628,12.8036156041865
"20",20,"111716_08",0.51,0.243937389770723,0.531084656084656,0.330687830687831,"mis_jugetes","F",-0.536619934820591,"exp",69,159,0.433962264150943,36.7386363636364
"21",21,"120416_03",-0.2,-0.131062610229277,-0.0939153439153442,-1.16931216931217,"classificando","M",-0.536619934820591,"con",68,164,0.414634146341463,18.6363636363636
"22",22,"091316_05",0.48,NA,NA,NA,"ruidos","M",-1.9676064276755,"con",122,386,0.316062176165803,38.701817116061
"23",23,"012017_06",0.32,0.118937389770723,-0.343915343915344,-0.794312169312169,"mis_jugetes","M",0.894366558034317,"con",40,105,0.380952380952381,11.8222748815166
"24",24,"042416_04",-0.05,-0.631062610229277,0.0310846560846558,-0.294312169312169,"give_me_toy","F",0.894366558034317,"exp",69,261,0.264367816091954,17.8666666666667
"25",25,"120416_06",0.1,0.493937389770723,0.531084656084656,-0.794312169312169,"classificando","F",-0.536619934820591,"con",46,74,0.621621621621622,63.760147601476
"26",26,"012017_07",-0.31,0.118937389770723,0.531084656084656,0.205687830687831,"a_recoger","F",-1.9676064276755,"con",44,124,0.354838709677419,7.29411764705882
"27",27,"091316_04",-0.06,NA,NA,NA,"mis_jugetes","F",-0.536619934820591,"con",86,226,0.380530973451327,29.2258713136729
"28",28,"042716_01",0.11,0.368937389770723,-0.593915343915344,-0.294312169312169,"classificando","M",0.894366558034317,"exp",74,209,0.354066985645933,16.2576121794872
"29",29,"111716_04",0.52,0.618937389770723,-0.0939153439153442,-2.29431216931217,"mis_jugetes","F",0.178873311606863,"con",46,92,0.5,29.4649947753396
"30",30,"101416_07",-0.6,-0.506062610229277,0.0310846560846558,0.580687830687831,"a_recoger","F",-1.25211318124804,"exp",81,281,0.288256227758007,15.2002923976608
"31",31,"110416_03",0.3,0.118937389770723,0.281084656084656,-1.04431216931217,"orchestra","M",0.894366558034317,"con",61,133,0.458646616541353,20.4003002251689
"32",32,"092216_04",-0.59,NA,NA,NA,"ruidos","F",-1.25211318124804,"con",31,95,0.326315789473684,11.4351851851852
"33",33,"121516_02",0.67,0.868937389770723,0.281084656084656,-1.04431216931217,"mis_jugetes","M",0.894366558034317,"exp",112,371,0.30188679245283,23.7965063080885
"34",34,"110416_06",-0.44,0.618937389770723,0.156084656084656,-0.294312169312169,"a_recoger","F",0.894366558034317,"con",59,261,0.226053639846743,12.0598354525056
"35",35,"092216_01",-0.31,NA,NA,NA,"ruidos","F",0.894366558034317,"con",49,100,0.49,10.2912751677852
"36",36,"120416_01",-0.09,-0.0060626102292769,0.531084656084656,0.205687830687831,"classificando","F",-0.536619934820591,"con",89,279,0.318996415770609,21.9392911899988
"37",37,"101416_02",-0.3,0.618937389770723,0.406084656084656,-0.419312169312169,"ruidos","F",0.894366558034317,"exp",68,193,0.352331606217617,11.986989759123
"38",38,"102816_01",-0.36,0.118937389770723,0.281084656084656,1.33068783068783,"ruidos","F",-1.9676064276755,"con",49,111,0.441441441441441,21.2539772727273
"39",39,"012017_03",0.24,-0.256062610229277,0.156084656084656,1.20568783068783,"mis_jugetes","F",-0.536619934820591,"con",59,181,0.325966850828729,17.0605374077977
"40",40,"042416_01",-0.44,-0.256062610229277,-0.343915343915344,-0.169312169312169,"ruidos","F",0.894366558034317,"exp",83,188,0.441489361702128,21.7125
"41",41,"121316_01",-0.25,0.868937389770723,0.156084656084656,0.205687830687831,"give_me_toy","M",-0.536619934820591,"con",61,152,0.401315789473684,14.9522727272727
"42",42,"111716_06",0.71,0.493937389770723,0.531084656084656,1.45568783068783,"orchestra","M",-1.25211318124804,"con",27,72,0.375,16.2
"43",43,"110416_07",-0.28,-1.25606261022928,0.156084656084656,-0.794312169312169,"a_recoger","M",0.894366558034317,"con",95,230,0.41304347826087,16.7263703064307
"44",44,"101416_01",-0.41,0.368937389770723,0.531084656084656,-0.294312169312169,"ruidos","F",0.178873311606863,"con",96,262,0.366412213740458,16.1527551574376
"45",45,"042416_03",-0.58,0.868937389770723,-0.218915343915344,-1.41931216931217,"a_recoger","M",0.894366558034317,"exp",89,364,0.244505494505494,20.4575852472569
"46",46,"091316_02",-0.11,0.368937389770723,0.531084656084656,0.580687830687831,"give_me_toy","F",0.894366558034317,"con",67,177,0.378531073446328,18.7232789365611
"47",47,"012017_01",0.28,NA,NA,NA,"orchestra","F",-0.536619934820591,"exp",71,199,0.35678391959799,21.1318767837811
"48",48,"050116_01",-0.04,-0.506062610229277,-0.343915343915344,-0.419312169312169,"classificando","F",-1.25211318124804,"exp",81,209,0.38755980861244,20.075
"49",49,"121516_04",0.73,-0.256062610229277,0.531084656084656,0.0806878306878307,"mis_jugetes","F",0.894366558034317,"exp",96,292,0.328767123287671,20.1619047619048
"50",50,"111716_02",-0.18,0.868937389770723,0.281084656084656,0.705687830687831,"give_me_toy","F",0.894366558034317,"exp",102,245,0.416326530612245,19.0453980099502
"51",51,"121516_01",0.61,0.368937389770723,-0.218915343915344,-0.0443121693121693,"orchestra","F",0.894366558034317,"exp",64,206,0.310679611650485,9.58658008658009
"52",52,"110416_05",0.23,-0.256062610229277,0.156084656084656,1.33068783068783,"mis_jugetes","F",-0.536619934820591,"con",60,151,0.397350993377483,11.6845238095238
"53",53,"120916_03",0.27,0.618937389770723,-0.968915343915344,-0.0443121693121693,"orchestra","F",-0.536619934820591,"con",96,173,0.554913294797688,38.7715723873442
"54",54,"101416_09",-0.16,0.868937389770723,0.156084656084656,-0.0443121693121693,"classificando","M",0.894366558034317,"exp",69,364,0.18956043956044,16.3741440475208
"55",55,"120416_02",0.69,-0.131062610229277,0.531084656084656,0.848544973544974,"mis_jugetes","M",-1.25211318124804,"exp",43,263,0.163498098859316,10.3176923076923
"56",56,"110416_04",-0.3,0.368937389770723,-0.0939153439153442,-0.0443121693121693,"a_recoger","F",-1.9676064276755,"con",67,104,0.644230769230769,51.6890216425693
"57",57,"092216_03",-0.17,NA,NA,NA,"give_me_toy","M",0.894366558034317,"con",75,179,0.418994413407821,21.1319444444444
"58",58,"042416_02",0.36,-0.256062610229277,-0.218915343915344,0.830687830687831,"classificando","F",0.894366558034317,"exp",50,203,0.246305418719212,10.063404453149
"59",59,"101416_04",-0.5,-0.506062610229277,0.281084656084656,-0.419312169312169,"a_recoger","M",0.894366558034317,"exp",51,116,0.439655172413793,13.05
"60",60,"091316_03",-0.22,0.243937389770723,0.531084656084656,0.830687830687831,"classificando","F",0.894366558034317,"con",74,191,0.387434554973822,17.9103811577106
