,sid,MTLD,HDD,types,tokens,TTR,len_sentence
0,090618_6,28.114282358468405,0.8068471982957337,125,245,0.5102040816326531,3.9516129032258065
1,101118_4,23.264527889172438,0.6850991945974769,91,274,0.33211678832116787,4.08955223880597
2,101118_5,11.602196939976462,0.5852609298526237,70,240,0.2916666666666667,3.8095238095238093
3,121317_1,22.649465769687374,0.7359679952263776,91,191,0.47643979057591623,2.742857142857143
4,101218_1,14.864253393665159,0.704278420004379,91,219,0.4155251141552511,3.9107142857142856
5,113018_1,16.173976608187132,0.5745831964129109,76,299,0.25418060200668896,4.671875
6,110218_4,28.877291242362524,0.6797612505212342,89,228,0.39035087719298245,3.1666666666666665
7,082918_1,37.27803429286006,0.7528147329533276,122,313,0.38977635782747605,5.216666666666667
8,110818_5,17.62731997030438,0.6056447221541563,36,55,0.6545454545454545,4.0
9,083018_6,29.618024132730014,0.7619597462904074,83,195,0.4256410256410256,3.769230769230769
10,110918_2,30.83723543734782,0.7161286807481534,57,96,0.59375,4.363636363636363
11,110918_3,30.166666666666668,0.7243032274920088,120,362,0.3314917127071823,4.067415730337078
12,091118_8,24.022284122562677,0.7471733225519935,101,223,0.452914798206278,4.072727272727272
13,110218_8,10.575757575757576,0.5457755086533321,79,346,0.22832369942196531,3.323809523809524
14,090418_3,14.40974519171873,0.7140388348741465,82,261,0.31417624521072796,3.329113924050633
15,090418_2,34.60831447963801,0.725266789618826,92,275,0.33454545454545453,4.583333333333333
16,091818_1,22.512488101441086,0.7624268435510133,106,226,0.4690265486725664,4.56
17,102618_5,20.45868569415081,0.6413403201890523,92,271,0.33948339483394835,2.8526315789473684
18,110918_6,51.277298850574724,0.7737288998149177,62,87,0.7126436781609196,4.045454545454546
19,091118_3,38.367194183062445,0.7919453057232144,130,265,0.49056603773584906,5.408163265306122
20,102518_6,20.23095238095238,0.6719916764679966,88,292,0.3013698630136986,4.725806451612903
21,083018_1,22.264612954186415,0.6920223165602989,64,142,0.4507042253521127,3.736842105263158
22,110918_5,20.75,0.7029291853438492,85,165,0.5151515151515151,3.688888888888889
23,110818_3,23.501548672566372,0.7254200277424833,68,111,0.6126126126126126,3.46875
24,110918_4,10.188642898217367,0.5852312619694239,36,62,0.5806451612903226,4.133333333333334
25,092018_5,30.17857142857143,0.7735541472109242,105,194,0.5412371134020618,3.482142857142857
26,092018_4,21.35909090909091,0.7406332353395072,76,127,0.5984251968503937,2.953488372093023
27,101718_2,16.754335260115607,0.5163215078626985,52,170,0.3058823529411765,4.358974358974359
28,113018_2,16.67257483682197,0.716846950775277,103,284,0.3626760563380282,3.313953488372093
29,111517_3,29.14486474697258,0.656878153800421,104,353,0.29461756373937675,5.348484848484849
30,111517_2,20.458441999687956,0.697080177832467,99,313,0.31629392971246006,4.077922077922078
31,102818_1,16.123759647188535,0.5529472783610925,52,155,0.33548387096774196,4.428571428571429
32,091118_4,21.121563981042655,0.6792985634494431,89,219,0.4063926940639269,3.0416666666666665
33,120117_2,13.981096028154852,0.5939776037250988,74,211,0.35071090047393366,4.75
34,102618_2,18.80775776485605,0.7247627427724394,103,210,0.49047619047619045,2.670886075949367
35,110218_9,19.360046224187307,0.5856371442195502,72,250,0.288,3.3506493506493507
36,090618_4,10.272727272727273,0.6414241580599049,54,98,0.5510204081632653,2.26
37,101818_1,16.461206896551722,0.632679552979729,93,335,0.27761194029850744,3.8068181818181817
38,101118_2,6.079861111111111,0.6078353080058889,85,206,0.41262135922330095,2.942857142857143
39,110818_4,11.806490691150216,0.5897810651890264,45,83,0.5421686746987951,4.611111111111111
40,110818_2,12.557443365695793,0.5588159751725407,44,83,0.5301204819277109,2.9642857142857144
41,101218_6,12.880263157894738,0.49239819534456825,53,251,0.21115537848605578,4.254237288135593
42,101218_7,26.72670807453416,0.7504986600009337,80,130,0.6153846153846154,3.3333333333333335
43,112217_2,31.47627840909091,0.7494077182200649,132,323,0.4086687306501548,5.296875
44,110218_2,28.625,0.7447118688064178,109,229,0.4759825327510917,4.089285714285714
45,110218_3,28.03846153846154,0.6659387570834904,54,108,0.5,4.32
46,121917_3,34.33375755647471,0.7294356147967962,94,226,0.415929203539823,4.37037037037037
47,091818_3,24.66012658227848,0.6463040753258379,70,140,0.5,3.6153846153846154
48,091818_2,23.318903318903317,0.6300203621709944,68,176,0.38636363636363635,4.512820512820513
49,113018_4,21.72622779519331,0.6585880686445408,81,191,0.42408376963350786,2.953846153846154
50,091118_1,33.08701472556894,0.7847194207626621,128,296,0.43243243243243246,4.228571428571429
51,083018_4,23.509567516188437,0.7143690783829822,55,118,0.4661016949152542,3.27027027027027
52,011118_1,15.798741129061018,0.6085768477828151,48,85,0.5647058823529412,3.4
53,102518_3,22.76101696357171,0.7680463799539096,126,318,0.39622641509433965,4.3561643835616435
54,101218_2,29.201264952440432,0.7695423680126547,93,194,0.4793814432989691,4.409090909090909
55,101218_3,17.25261969847581,0.7241856973023015,105,237,0.4430379746835443,4.388888888888889
56,110218_7,12.522368421052631,0.6811933868478758,92,248,0.3709677419354839,5.391304347826087
57,090518_1,20.305555555555557,0.6907497467116148,81,172,0.47093023255813954,3.3076923076923075
58,090618_5,27.249097472924184,0.7926829933255984,123,255,0.4823529411764706,3.984375
59,101818_4,14.39494382022472,0.6245638111881014,86,243,0.35390946502057613,4.2631578947368425
60,101818_5,19.262556663644602,0.7387606367244439,91,202,0.4504950495049505,3.642857142857143
61,110818_1,20.027472527472526,0.5902782496200041,74,270,0.2740740740740741,4.655172413793103
62,101218_5,17.207729468599034,0.7029652916776703,102,299,0.3411371237458194,3.397727272727273
63,101218_4,15.389231499051233,0.626689639603189,90,267,0.33707865168539325,4.171875
64,110218_1,3.8125,0.3424717142805153,41,183,0.22404371584699453,3.893617021276596
65,011218_1,15.521150887790693,0.537692456104476,61,189,0.32275132275132273,3.2758620689655173
66,110418_3,13.118663594470046,0.5821442208784962,92,383,0.2402088772845953,4.195652173913044
67,090618_3,10.114551822958127,0.63365476286592,59,120,0.49166666666666664,2.2363636363636363
68,090618_2,32.55382311486962,0.7572351943338628,78,131,0.5954198473282443,3.638888888888889
69,101818_2,20.457690165942758,0.6743065775559309,120,411,0.291970802919708,6.134328358208955
70,091318_2,20.75132898296992,0.6736493402191003,85,221,0.38461538461538464,4.723404255319149
71,110818_6,9.818181818181818,0.6389269434809034,65,117,0.5555555555555556,2.659090909090909
72,090418_6,23.08664204370576,0.7156628993440577,82,203,0.4039408866995074,3.123076923076923
73,091818_4,10.415686274509804,0.6373643841615386,75,166,0.45180722891566266,3.772727272727273
74,102818_2,10.5,0.609170323383053,39,63,0.6190476190476191,3.0
75,091118_7,29.236229287953428,0.7228017558224571,97,213,0.45539906103286387,4.26
76,102618_1,25.089065708418893,0.6215571151959408,81,306,0.2647058823529412,5.15
77,102518_5,14.610657764362227,0.6892378047566461,74,170,0.43529411764705883,3.62
78,102518_4,55.50284247203375,0.8197831832464632,119,203,0.5862068965517241,3.3934426229508197
79,113018_3,21.82142857142857,0.7517070899661357,77,141,0.5460992907801419,3.2045454545454546
80,092018_6,18.709829626948697,0.7096363555922878,113,316,0.3575949367088608,6.076923076923077
81,101718_1,16.29967502321263,0.6387755793760272,91,322,0.2826086956521739,5.278688524590164
82,090618_1,50.22237669720039,0.8085043525852664,155,357,0.4341736694677871,5.1
83,110418_4,10.8,0.595332590061382,37,59,0.6271186440677966,2.8636363636363638
